stock_name,stock_code,preferred_theme,categories,subthemes,keywords
에코볼트,097780,개별주,모바일,아이폰 부품,아이폰 부품
에코심플렉스,038870,BIO / 의료AI,에너지 | 환경/재난,바이오연료 | 탄소포집(CCUS)/탄소중립,탄소포집(CCUS)/탄소중립 | 바이오연료
에코아이,448280,개별주,환경/재난,탄소포집(CCUS)/탄소중립,탄소포집(CCUS)/탄소중립
에코캡,128540,자율주행/모빌리티 테마,자동차,리비안,리비안
에코프로,086520,전력 / 에너지,AI/데이터센터/로봇 | 기타 | 에너지 | 원자재 | 이차전지,로봇 | 지주사 | ESS(전력저장장치) | 리튬 | 폐배터리 | 나트륨이온배터리,지주사 | ESS(전력저장장치) | 로봇 | 폐배터리 | 리튬 | 나트륨이온배터리
에코프로머티,450080,전력 / 에너지,에너지 | 원자재,ESS(전력저장장치) | 니켈,ESS(전력저장장치) | 니켈
에코프로비엠,247540,로봇 테마 부각,AI/데이터센터/로봇 | 이차전지,로봇 | 나트륨이온배터리,로봇 | 나트륨이온배터리
에코프로에이치엔,383310,개별주,환경/재난,황사/미세먼지 | 탄소포집(CCUS)/탄소중립,탄소포집(CCUS)/탄소중립 | 황사/미세먼지
에코플라스틱,038110,BIO / 의료AI,국제 | 환경/재난 | 정치,북미공장 | 탈플라스틱(바이오플라스틱) | 이재명,이재명 | 북미공장 | 탈플라스틱(바이오플라스틱)
에프알텍,073540,IT / 통신,통신,통신/통신장비 | 5G/6G,통신/통신장비 | 5G/6G
에프에스티,036810,반도체 업황/테마 부각,IT/신기술 | 반도체,바이오인식(생체인식) | 반도체-EUV | 반도체 장비 | 반도체 소재/부품,반도체 소재/부품 | 반도체 장비 | 바이오인식(생체인식) | 반도체-EUV
에프엔씨엔터,173940,IP / 엔터,IP/엔터,음원/음반,음원/음반
에프엔에스테크,083500,반도체 업황/테마 부각,반도체,유리기판 | 반도체 소재/부품 | 마이크론 | TSMC,반도체 소재/부품 | 유리기판 | TSMC | 마이크론
에피소드컴퍼니,317530,정책 수혜 기대감,IP/엔터 | 생활 | 정부정책,캐릭터상품 | 영화/드라마/OTT | 교육 | 저출산,영화/드라마/OTT | 교육 | 캐릭터상품 | 저출산
엑사이엔씨,054940,개별주,IT/신기술,사물인터넷(IoT)/스마트홈,사물인터넷(IoT)/스마트홈
엑세스바이오,950130,BIO / 의료AI,바이오/의료AI | 전염병/질병,진단키트 | 코로나 | 엠폭스(원숭이두창) | 마이코플라스마 폐렴 | 독감,마이코플라스마 폐렴 | 코로나 | 독감 | 엠폭스(원숭이두창) | 진단키트
엑셀세라퓨틱스,373110,BIO / 의료AI,바이오/의료AI,줄기세포 | 유전자치료,유전자치료 | 줄기세포
엑셈,205100,로봇 테마 부각,AI/데이터센터/로봇 | 빅테크,데이터센터/클라우드 | 아마존(AWS) | 마이크로소프트(MS),데이터센터/클라우드 | 마이크로소프트(MS) | 아마존(AWS)
엑스게이트,356680,로봇 테마 부각,AI/데이터센터/로봇 | IT/신기술,AI(인공지능) | 양자암호/양자컴퓨팅 | 보안,보안 | AI(인공지능) | 양자암호/양자컴퓨팅
엑스큐어,070300,IT / 통신,IT/신기술 | 가상화폐/가상현실 | 통신,양자암호/양자컴퓨팅 | 보안 | 블록체인 | 유심(USIM),블록체인 | 보안 | 양자암호/양자컴퓨팅 | 유심(USIM)
엑스페릭스,317770,BIO / 의료AI,AI/데이터센터/로봇 | IT/신기술 | 가상화폐/가상현실 | 정치 | 유니콘,AI(인공지능) | 바이오인식(생체인식) | STO(증권형 토큰 발행) | 한동훈 | 퓨리오사AI,퓨리오사AI | STO(증권형 토큰 발행) | 한동훈 | AI(인공지능) | 바이오인식(생체인식)
엑시온그룹,069920,유통 / 물류,AI/데이터센터/로봇 | 유통/물류,로봇 | 소매유통,소매유통 | 로봇
엑시콘,092870,반도체 업황/테마 부각,AI/데이터센터/로봇 | 반도체,SSD | 반도체 장비 | CXL(컴퓨트익스프레스링크),반도체 장비 | CXL(컴퓨트익스프레스링크) | SSD
엑시큐어하이트론,019490,개별주,IT/신기술,보안 | CCTV,CCTV | 보안
엔바이오니아,317870,전력 / 에너지,에너지,ESS(전력저장장치),ESS(전력저장장치)
엔브이에이치코리아,067570,BIO / 의료AI,정치 | 의료기기/의료시설,우원식 | 음압병실,음압병실 | 우원식
엔비티,236810,코인 / 가상자산,IP/엔터 | 가상화폐/가상현실 | 유니콘,웹툰/웹소설 | SNS/광고(틱톡 등) | 스테이블코인 | NFT(대체불가능토큰) | 토스,SNS/광고(틱톡 등) | NFT(대체불가능토큰) | 스테이블코인 | 웹툰/웹소설 | 토스
엔시스,333620,이차전지,자동차 | 이차전지,전기차 화재 방지 | 2차전지(장비),전기차 화재 방지 | 2차전지(장비)
엔시트론,101400,반도체 업황/테마 부각,반도체,반도체 설계,반도체 설계
엔알비,475230,건설/인프라 테마,건설/인프라 | 기타,모듈러주택 | 2025년 3분기 신규상장,모듈러주택 | 2025년 3분기 신규상장
엔에프씨,265740,화장품 / 중국,바이오/의료AI | 화장품/미용,마리화나(대마) | 화장품,마리화나(대마) | 화장품
엔젠바이오,354200,BIO / 의료AI,바이오/의료AI,치매/알츠하이머 | 의료AI | 유전자치료,유전자치료 | 치매/알츠하이머 | 의료AI
엔젤로보틱스,455900,로봇 테마 부각,AI/데이터센터/로봇 | 빅테크,의료로봇 | 로봇 | LG전자,LG전자 | 로봇 | 의료로봇
엔젯,419080,반도체 업황/테마 부각,반도체,유리기판 | PCB/FPCB(회로기판),유리기판 | PCB/FPCB(회로기판)
엔지켐생명과학,183490,BIO / 의료AI,바이오/의료AI,mRNA(메신저 리보핵산),mRNA(메신저 리보핵산)
